querycode,query,num_ads,num_clicks,num_impressions,num_word,brand,location,log_trans,avg_ad_quality,log_imp,avg_num_ads,categoryid
733,apple store,2769,147,354,2,1,0,5.2203558,0.05261358,5.8692969,7.7909605,8
734,credit score,1712,147,215,2,0,0,2.3025851,0.09095185,5.370638,7.8930233,9
735,free wallpaper,3946,147,498,2,0,0,1.0986123,0.04550286,6.2106001,7.9116466,6
736,herpes,3385,147,429,1,0,0,1.3862944,0.0392075,6.0614569,7.8624709,12
737,citicard,1971,146,249,1,0,0,3.3322045,0.03716401,5.5174529,7.875502,9
738,work at home,2406,146,303,3,0,1,2.1972246,0.05067699,5.7137328,7.9009901,9
739,century21,2437,145,350,1,1,0,3.2580965,0.05837713,5.8579332,6.94,10
740,cholesterol,2314,145,291,1,0,0,0.69314718,0.06290532,5.6733233,7.8762887,12
741,greyhound bus,3912,145,568,2,1,0,2.6390573,0.03149727,6.3421214,6.8820423,18
742,ms,2817,145,409,1,0,0,2.3978953,0.05919091,6.0137152,6.8435208,11
743,spider solitaire,2230,145,293,2,0,0,1.0986123,0.05826702,5.6801726,7.5802048,5
744,hot topic,3814,144,558,2,0,0,3.2958369,0.04202524,6.324359,6.8154122,15
745,ltd,3161,144,458,1,0,0,2.4849067,0.01366631,6.1268692,6.8820961,9
746,nokia,7592,144,1108,1,1,0,2.4849067,0.01149844,7.0103119,6.8285199,11
747,adidas,4104,143,519,1,1,0,3.2188758,0.03828377,6.2519039,7.894027,17
748,checks unlimited,2305,143,294,2,0,0,4.5108595,0.06781829,5.6835798,7.8197279,9
749,the gap,1582,143,298,2,1,1,2.0794415,0.08882501,5.6970935,5.3020134,8
750,myspace music,5456,142,815,2,1,0,1.0986123,0.00881841,6.7031881,6.6785276,0
751,hp computers,2118,141,267,2,1,0,3.4657359,0.06551191,5.5872487,7.8801498,11
752,jet blue airline,2497,141,317,3,1,0,3.4011974,0.04820505,5.7589018,7.851735,4
753,loans,4137,141,598,1,0,0,2.6390573,0.03063031,6.3935908,6.8913043,9
754,orbit,1416,141,178,1,0,0,2.1972246,0.05933762,5.1817836,7.8932584,18
755,bejeweled,4622,140,590,1,0,0,1.6094379,0.03183768,6.3801225,7.8186441,5
756,carnival cruise,7039,140,893,2,1,0,3.4657359,0.02892529,6.7945866,7.8667413,4
757,powerball number,5102,140,1002,2,0,0,2.3025851,0.0261118,6.9097533,5.0858283,0
758,scrabble,2335,140,298,1,1,0,2.4849067,0.04876516,5.6970935,7.795302,5
759,air tran,10179,139,1292,2,0,0,3.0910425,0.01926642,7.1639467,7.871517,4
760,cadillac,5196,139,655,1,1,1,2.3978953,0.02839411,6.4846352,7.9114504,2
761,golf clubs,2255,139,288,2,0,1,2.9957323,0.04660989,5.6629605,7.8090278,17
762,khols,1671,139,417,1,0,0,3.2188758,0.0943437,6.0330862,3.9976019,8
763,the secret,2751,139,401,2,1,0,2.6390573,0.03056793,5.9939614,6.8503741,19
764,toysrus,7725,139,1351,1,0,0,3.6375862,0.00810512,7.2086003,5.7105848,8
765,dillards,18509,138,3227,1,1,0,3.5263605,0.01183374,8.0793082,5.7325689,8
